"subplot_name","subplot_id","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number","subplot_number"
"CU_ARS_2026_WOP_060_subplot_2","755636","CU_ARS_2026_WOP_060","NF12AS-108-4_1","060","2","","1","3","20","2"
"CU_ARS_2026_WOP_060_subplot_3","755637","CU_ARS_2026_WOP_060","NF12AS-108-4_1","060","2","","1","3","20","3"
"CU_ARS_2026_WOP_061_subplot_1","755458","CU_ARS_2026_WOP_061","NF12AS-108-4_1","061","2","","1","4","20","1"
"CU_ARS_2026_WOP_061_subplot_2","755459","CU_ARS_2026_WOP_061","NF12AS-108-4_1","061","2","","1","4","20","2"
"CU_ARS_2026_WOP_061_subplot_3","755460","CU_ARS_2026_WOP_061","NF12AS-108-4_1","061","2","","1","4","20","3"
"CU_ARS_2026_WOP_062_subplot_1","756397","CU_ARS_2026_WOP_062","NF12AS-73-4_3","062","2","","1","4","19","1"
"CU_ARS_2026_WOP_062_subplot_2","756398","CU_ARS_2026_WOP_062","NF12AS-73-4_3","062","2","","1","4","19","2"
"CU_ARS_2026_WOP_062_subplot_3","756399","CU_ARS_2026_WOP_062","NF12AS-73-4_3","062","2","","1","4","19","3"
"CU_ARS_2026_WOP_063_subplot_1","756529","CU_ARS_2026_WOP_063","NC21-6359N","063","2","","1","4","18","1"
"CU_ARS_2026_WOP_063_subplot_2","756530","CU_ARS_2026_WOP_063","NC21-6359N","063","2","","1","4","18","2"
"CU_ARS_2026_WOP_063_subplot_3","756531","CU_ARS_2026_WOP_063","NC21-6359N","063","2","","1","4","18","3"
"CU_ARS_2026_WOP_064_subplot_1","755716","CU_ARS_2026_WOP_064","NC21-6359N","064","2","","1","4","17","1"
"CU_ARS_2026_WOP_064_subplot_2","755717","CU_ARS_2026_WOP_064","NC21-6359N","064","2","","1","4","17","2"
"CU_ARS_2026_WOP_064_subplot_3","755718","CU_ARS_2026_WOP_064","NC21-6359N","064","2","","1","4","17","3"
"CU_ARS_2026_WOP_065_subplot_1","755455","CU_ARS_2026_WOP_065","PA7617-3658","065","2","","1","4","16","1"
"CU_ARS_2026_WOP_065_subplot_2","755456","CU_ARS_2026_WOP_065","PA7617-3658","065","2","","1","4","16","2"
"CU_ARS_2026_WOP_065_subplot_3","755457","CU_ARS_2026_WOP_065","PA7617-3658","065","2","","1","4","16","3"
"CU_ARS_2026_WOP_066_subplot_1","756496","CU_ARS_2026_WOP_066","PA7617-3658","066","2","","1","4","15","1"
"CU_ARS_2026_WOP_066_subplot_2","756497","CU_ARS_2026_WOP_066","PA7617-3658","066","2","","1","4","15","2"
"CU_ARS_2026_WOP_066_subplot_3","756498","CU_ARS_2026_WOP_066","PA7617-3658","066","2","","1","4","15","3"
"CU_ARS_2026_WOP_067_subplot_1","756607","CU_ARS_2026_WOP_067","NC12-3578","067","2","","1","4","14","1"
"CU_ARS_2026_WOP_067_subplot_2","756608","CU_ARS_2026_WOP_067","NC12-3578","067","2","","1","4","14","2"
"CU_ARS_2026_WOP_067_subplot_3","756609","CU_ARS_2026_WOP_067","NC12-3578","067","2","","1","4","14","3"
"CU_ARS_2026_WOP_068_subplot_1","756121","CU_ARS_2026_WOP_068","NC12-3578","068","2","","1","4","13","1"
"CU_ARS_2026_WOP_068_subplot_2","756122","CU_ARS_2026_WOP_068","NC12-3578","068","2","","1","4","13","2"
"CU_ARS_2026_WOP_068_subplot_3","756123","CU_ARS_2026_WOP_068","NC12-3578","068","2","","1","4","13","3"
"CU_ARS_2026_WOP_069_subplot_1","756349","CU_ARS_2026_WOP_069","FL17539-27","069","2","","1","4","12","1"
"CU_ARS_2026_WOP_069_subplot_2","756350","CU_ARS_2026_WOP_069","FL17539-27","069","2","","1","4","12","2"
"CU_ARS_2026_WOP_069_subplot_3","756351","CU_ARS_2026_WOP_069","FL17539-27","069","2","","1","4","12","3"
"CU_ARS_2026_WOP_070_subplot_1","756514","CU_ARS_2026_WOP_070","FL17539-27","070","2","","1","4","11","1"
"CU_ARS_2026_WOP_070_subplot_2","756515","CU_ARS_2026_WOP_070","FL17539-27","070","2","","1","4","11","2"
"CU_ARS_2026_WOP_070_subplot_3","756516","CU_ARS_2026_WOP_070","FL17539-27","070","2","","1","4","11","3"
"CU_ARS_2026_WOP_071_subplot_1","756469","CU_ARS_2026_WOP_071","FLLA17088-77","071","2","","1","4","10","1"
